,FoilID,Total_Grade,printingDay,toKobeday,QCday,toCERNday,R_grade,R_mean[Mohm/sq],R_rms,GoodRatio[%],Max,Min,ratio_mu[CH/JP],ratio_rms[CH/JP],width_grade,width_mean[um],width_rms,pitch_grade,pitch_mean[um],pitch_rms,eta[mm]
0,SE8_00059,A,2016.06.03,2016.06.03,2016.10.12,,A,0.84,0.18,100.0,1.65,0.56,,,A,326.9,20.3,A,425.5,16.4,473.4
1,SE8_00060,B,2016.06.03,2016.06.03,2016.10.12,,A,0.84,0.16,100.0,1.47,0.6,,,A,327.5,21.0,A,425.5,16.7,473.4
2,SE8_00061,A,2016.06.03,2016.06.03,2016.10.12,,A,0.84,0.17,100.0,1.7,0.59,,,A,326.8,20.6,A,425.5,16.7,473.5
3,SE8_00062,A,2016.06.03,2016.06.03,2016.10.12,,A,0.82,0.14,100.0,1.44,0.55,,,A,326.2,20.3,A,425.5,16.4,473.4
4,SE8_00063,A,2016.06.03,2016.06.03,2016.10.12,,A,0.86,0.2,100.0,1.71,0.55,,,A,326.7,20.6,A,425.6,16.5,473.5
5,SE8_00064,A,2016.06.03,2016.06.03,2016.10.12,,A,0.86,0.18,100.0,1.68,0.53,,,A,327.1,20.4,A,425.6,16.6,473.5
6,SE8_00065,A,2016.06.03,2016.06.03,2016.10.12,,A,0.95,0.23,100.0,1.88,0.63,,,A,328.5,20.9,A,425.6,16.8,473.5
7,SE8_00066,A,2016.06.03,2016.06.03,2016.10.12,,A,0.92,0.18,100.0,1.76,0.56,,,A,327.5,20.4,A,425.6,16.6,473.5
8,SE8_00067,B,2016.06.03,2016.06.03,2016.10.12,,A,0.96,0.21,100.0,1.72,0.58,,,A,325.9,20.6,A,425.6,16.5,473.5
9,SE8_00068,A,2016.06.03,2016.06.03,2016.10.12,,A,0.97,0.22,100.0,1.8,0.55,,,A,324.9,20.2,A,425.6,16.3,473.5
10,SE8_00069,A,2016.06.03,2016.06.03,2016.10.06,,A,0.87,0.18,100.0,1.68,0.6,,,A,326.1,20.5,A,425.6,16.4,473.5
11,SE8_00070,A,2016.06.03,2016.06.03,2016.10.06,,A,0.88,0.17,100.0,1.75,0.61,,,A,326.2,20.2,A,425.5,16.3,473.4
12,SE8_00071,A,2016.06.03,2016.06.03,2016.10.06,,A,0.94,0.19,100.0,2.0,0.66,,,A,325.8,20.3,A,425.5,16.2,473.4
13,SE8_00072,A,2016.06.03,2016.06.03,2016.10.06,,A,1.06,0.31,100.0,2.17,0.66,,,A,323.7,19.6,A,425.7,15.9,473.6
14,SE8_00073,A,2016.06.03,2016.06.03,2016.10.06,,A,0.97,0.22,100.0,1.81,0.59,,,A,324.4,19.7,A,425.7,15.9,473.5
15,SE8_00074,A,2016.06.03,2016.06.03,2016.10.05,,A,0.91,0.23,99.5,2.7,0.57,,,A,324.2,20.5,A,425.6,16.0,473.5
16,SE8_00075,A,2016.06.03,2016.06.03,2016.10.05,,A,0.9,0.22,99.2,3.29,0.55,,,A,325.7,20.2,A,425.6,16.1,473.5
17,SE8_00076,A,2016.06.03,2016.06.03,2016.06.04,2016.06.05,A,0.97,0.22,100.0,1.96,0.62,,,A,324.4,20.1,A,425.4,16.1,473.3
18,SE8_00077,A,2016.06.03,2016.06.03,2016.06.04,2016.06.05,A,0.95,0.23,100.0,1.96,0.61,,,,-1.0,-1.0,,-1.0,-1.0,-1.0
19,SE8_00078,A,2016.06.03,2016.06.03,2016.06.04,2016.06.05,A,1.07,0.23,100.0,1.98,0.7,,,A,322.5,19.9,A,425.5,15.9,473.3
20,SE8_00079,A,2016.06.03,2016.06.03,2016.06.04,2016.06.05,A,1.0,0.22,100.0,1.92,0.65,,,A,323.0,20.0,A,425.4,16.1,473.3
21,SE8_00080,A,2016.06.03,2016.06.03,2016.06.04,2016.06.05,A,1.03,0.25,100.0,1.97,0.67,,,A,324.2,20.1,A,425.5,16.2,473.3
22,SE8_00081,A,2016.06.03,2016.06.03,2016.06.04,2016.06.05,A,1.03,0.25,100.0,1.99,0.67,,,A,323.7,20.2,A,425.4,16.4,473.3
23,SE8_00082,A,2016.06.03,2016.06.03,2016.06.04,2016.06.05,A,1.0,0.23,100.0,1.94,0.64,,,A,323.2,20.1,A,425.5,16.1,473.3
24,SE8_00083,A,2016.06.03,2016.06.03,2016.06.04,2016.06.05,A,0.99,0.23,100.0,1.98,0.66,,,A,320.7,19.4,A,425.5,15.8,473.3
25,SE8_00084,A,2016.06.03,2016.06.03,2016.06.04,2016.06.05,A,1.0,0.21,100.0,1.81,0.61,,,A,323.5,20.1,A,425.5,16.1,473.4
26,SE8_00085,A,2016.06.03,2016.06.03,2016.06.04,2016.06.05,A,1.0,0.2,100.0,1.78,0.65,,,A,323.1,19.8,A,425.5,16.0,473.3
27,SE7_00002,A,2016.06.03,2016.06.03,2016.10.05,,A,1.7,0.27,99.5,2.63,1.17,,,A,287.3,16.1,A,425.7,13.5,450.4
28,SE7_00003,A,2016.06.03,2016.06.03,2016.10.05,,B,1.59,0.27,98.7,2.72,1.09,,,A,286.8,15.3,A,425.7,12.8,450.2
29,SE7_00005,A,2016.06.03,2016.06.03,2016.09.02,,A,1.31,0.21,100.0,2.0,0.91,,,A,291.7,16.1,A,425.6,13.0,450.2
30,SE7_00006,A,2016.06.03,2016.06.03,2016.09.02,,A,1.15,0.19,100.0,1.8,0.77,,,A,297.3,17.0,A,425.6,13.4,450.2
31,SE7_00007,A,2016.06.03,2016.06.03,2016.09.02,,A,1.09,0.15,100.0,1.74,0.78,,,A,303.1,17.1,A,425.6,13.6,450.2
32,SE7_00008,A,2016.06.03,2016.06.03,2016.09.02,,A,1.03,0.16,100.0,1.85,0.66,,,A,304.3,17.6,A,425.6,13.7,450.3
33,SE7_00009,A,2016.06.03,2016.06.03,2016.09.02,,A,1.01,0.16,100.0,1.7,0.69,,,A,306.5,17.6,A,425.6,13.9,450.3
34,SE7_00010,A,2016.06.03,2016.06.03,2016.09.02,,A,1.04,0.15,100.0,1.73,0.73,,,A,300.8,17.9,A,425.6,13.6,450.3
35,SE7_00011,A,2016.06.03,2016.06.03,2016.09.02,,A,1.1,0.14,100.0,1.87,0.73,,,A,308.7,17.6,A,425.6,13.9,450.2
36,SE7_00012,A,2016.06.03,2016.06.03,2016.09.02,,A,1.06,0.2,100.0,1.76,0.64,,,A,310.4,18.1,A,425.6,14.3,450.2
37,SE7_00013,A,2016.06.03,2016.06.03,2016.09.02,,A,0.95,0.18,100.0,1.59,0.62,,,A,309.7,17.5,A,425.6,14.1,450.3
38,SE7_00014,A,2016.06.03,2016.06.03,2016.09.02,,A,0.87,0.13,100.0,1.48,0.57,,,A,311.7,17.9,A,425.6,14.3,450.2
39,SE7_00015,A,2016.06.03,2016.06.03,2016.09.02,,A,0.88,0.14,100.0,1.55,0.62,,,A,311.3,18.0,A,425.6,14.4,450.3
40,SE7_00016,A,2016.06.03,2016.06.03,2016.09.02,,A,0.93,0.15,100.0,1.6,0.65,,,A,312.9,18.5,A,425.6,14.7,450.3
41,SE7_00017,A,2016.06.03,2016.06.03,2016.09.02,,A,0.95,0.18,100.0,1.69,0.62,,,A,313.5,18.1,A,425.6,14.2,450.2
42,SE7_00018,A,2016.06.03,2016.06.03,2016.09.02,,A,0.93,0.15,100.0,1.62,0.61,,,A,314.9,18.5,A,425.5,14.8,450.3
43,SE7_00019,A,2016.06.03,2016.06.03,2016.09.02,,A,0.92,0.17,100.0,1.77,0.57,,,A,314.0,18.6,A,425.6,14.8,450.3
44,SE7_00020,A,2016.06.03,2016.06.03,2016.09.02,,A,0.97,0.18,100.0,1.73,0.61,,,A,317.1,19.5,A,425.5,15.4,450.3
45,SE7_00021,A,2016.06.03,2016.06.03,2016.09.02,,A,1.01,0.22,100.0,1.76,0.6,,,A,319.4,19.4,A,425.5,15.7,450.3
46,SE7_00022,A,2016.06.03,2016.06.03,2016.09.02,,A,1.0,0.18,100.0,1.74,0.64,,,A,316.4,19.1,A,425.6,15.2,450.3
47,SE7_00023,A,2016.06.03,2016.06.03,2016.09.02,,A,0.99,0.2,100.0,1.82,0.65,,,A,315.6,18.8,A,425.5,15.2,450.3
48,SE7_00024,A,2016.06.03,2016.06.03,2016.09.02,,A,0.96,0.17,100.0,1.76,0.64,,,A,320.4,19.5,A,425.5,15.7,450.3
49,SE7_00025,A,2016.06.03,2016.06.03,2016.09.02,,A,0.98,0.17,100.0,1.63,0.65,,,A,321.2,19.8,A,425.5,15.7,450.3
50,SE7_00026,A,2016.06.03,2016.06.03,2016.09.02,,A,0.96,0.17,100.0,1.74,0.63,,,A,319.8,20.0,A,425.5,15.7,450.3
51,SE7_00027,A,2016.06.03,2016.06.03,2016.09.02,,A,1.06,0.22,100.0,1.86,0.65,,,A,320.1,19.7,A,425.6,15.7,450.4
52,SE7_00028,A,2016.06.03,2016.06.03,2016.09.01,,A,1.03,0.21,100.0,1.91,0.59,,,A,322.2,21.3,A,425.2,17.7,450.3
53,SE7_00029,A,2016.06.03,2016.06.03,2016.09.01,,A,1.02,0.2,100.0,1.91,0.66,,,A,323.0,20.1,A,425.5,16.0,450.3
54,SE7_00030,A,2016.06.03,2016.06.03,2016.09.01,,A,0.98,0.17,100.0,1.91,0.64,,,A,323.3,20.1,A,425.4,16.0,450.3
55,SE7_00031,A,2016.06.03,2016.06.03,2016.09.01,,A,0.97,0.18,100.0,1.83,0.6,,,A,317.1,19.4,A,425.5,15.3,450.3
56,SE7_00032,A,2016.06.03,2016.06.03,2016.09.01,,A,0.97,0.15,100.0,1.78,0.61,,,A,319.8,19.5,A,425.5,15.6,450.3
57,SE7_00033,A,2016.06.03,2016.06.03,2016.09.01,,A,1.2,0.18,100.0,1.97,0.86,,,A,319.6,18.9,A,425.6,15.6,450.4
58,SE7_00034,A,2016.06.03,2016.06.03,2016.09.01,,A,1.31,0.2,100.0,2.01,0.91,,,A,327.6,20.5,A,425.4,16.8,450.3
59,SE7_00035,A,2016.06.03,2016.06.03,2016.09.01,,A,1.16,0.17,100.0,1.85,0.73,,,A,328.8,20.8,A,425.4,17.2,450.4
60,SE7_00036,A,2016.06.03,2016.06.03,2016.09.01,,A,1.05,0.18,100.0,1.92,0.62,,,A,326.7,20.3,A,425.4,16.8,450.3
61,SE7_00037,B,2016.06.03,2016.06.03,2016.09.01,,A,1.17,0.2,100.0,1.98,0.74,,,B,331.0,21.6,A,425.3,17.8,450.4
62,SE7_00038,B,2016.06.03,2016.06.03,2016.09.01,,A,1.23,0.18,100.0,1.86,0.79,,,B,331.3,21.2,A,425.4,17.7,450.4
63,SE7_00039,A,2016.06.03,2016.06.03,2016.09.01,,A,1.17,0.18,100.0,1.8,0.74,,,B,330.3,21.1,A,425.4,17.6,450.4
64,SE7_00040,A,2016.06.03,2016.06.03,2016.09.01,,A,1.04,0.17,100.0,1.74,0.6,,,A,325.6,20.6,A,425.5,17.1,450.4
65,SE7_00041,A,2016.06.03,2016.06.03,2016.09.01,,A,1.0,0.16,100.0,1.75,0.67,,,A,320.4,19.6,A,425.6,16.5,450.4
66,SE7_00042,A,2016.06.03,2016.06.03,2016.09.01,,A,1.04,0.16,100.0,1.78,0.71,,,A,323.0,20.0,A,425.6,16.7,450.5
67,SE7_00043,B,2016.06.03,2016.06.03,2016.08.32,,A,1.0,0.16,100.0,1.74,0.65,,,A,323.3,20.1,A,425.5,16.7,450.4
68,SE7_00044,B,2016.06.03,2016.06.03,2016.08.33,,A,0.98,0.17,100.0,1.69,0.58,,,A,322.9,20.1,A,425.5,16.7,450.4
69,SE7_00045,B,2016.06.03,2016.06.03,2016.08.34,,A,0.96,0.16,100.0,1.62,0.58,,,A,321.0,19.5,A,425.5,16.2,450.4
70,SE7_00046,A,2016.06.03,2016.06.03,2016.08.35,,A,1.02,0.15,100.0,1.73,0.63,,,A,320.7,19.4,A,425.5,16.3,450.3
71,SE7_00047,A,2016.06.03,2016.06.03,2016.08.36,,A,0.99,0.17,100.0,1.72,0.65,,,A,320.9,19.2,A,425.4,16.2,450.3
72,SE7_00048,A,2016.06.03,2016.06.03,2016.08.37,,A,1.01,0.17,100.0,1.68,0.63,,,A,323.8,19.7,A,425.4,16.5,450.3
73,SE7_00049,A,2016.06.03,2016.06.03,2016.08.38,,A,1.1,0.22,100.0,1.94,0.61,,,A,322.0,19.4,A,425.5,16.1,450.3
74,SE7_00050,A,2016.06.03,2016.06.03,2016.08.39,,A,1.05,0.18,100.0,1.76,0.67,,,A,323.4,19.5,A,425.5,16.2,450.3
75,SE7_00051,A,2016.06.03,2016.06.03,2016.08.40,,A,1.04,0.17,100.0,1.7,0.66,,,A,321.9,19.4,A,425.5,16.1,450.3
76,SE7_00052,A,2016.06.03,2016.06.03,2016.08.41,,A,1.05,0.19,100.0,1.93,0.65,,,A,323.6,19.7,A,425.5,16.3,450.3
77,SE7_00053,A,2016.06.03,2016.06.03,2016.08.42,,A,1.02,0.21,99.5,2.76,0.61,,,A,324.3,20.1,A,425.5,16.4,450.4
78,SE7_00054,A,2016.06.03,2016.06.03,2016.08.43,,A,0.99,0.16,100.0,1.78,0.59,,,A,323.7,19.6,A,425.5,16.2,450.3
79,SE7_00055,A,2016.06.03,2016.06.03,2016.08.44,,A,1.02,0.18,100.0,2.01,0.65,,,A,325.0,20.3,A,425.5,16.5,-1.0
80,SE7_00056,A,2016.06.03,2016.06.03,2016.08.45,,A,1.0,0.14,100.0,1.65,0.62,,,A,324.7,20.0,A,425.5,16.4,450.3
81,SE7_00057,A,2016.06.03,2016.06.03,2016.08.46,,A,0.99,0.14,100.0,1.57,0.64,,,A,323.6,19.9,A,425.5,16.3,450.4
82,SE7_00058,A,2016.06.03,2016.06.03,2016.08.47,,A,0.98,0.18,100.0,1.97,0.62,,,A,324.4,20.1,A,425.5,16.4,450.4
83,SE7_00060,A,2016.06.03,2016.06.03,2016.08.31,,A,0.96,0.15,100.0,1.81,0.61,,,A,323.0,19.8,A,425.5,16.2,450.4
84,SE7_00061,A,2016.06.03,2016.06.03,2016.08.31,,A,1.01,0.18,100.0,1.89,0.66,,,A,323.3,19.8,A,425.6,16.3,450.4
85,SE7_00062,A,2016.06.03,2016.06.03,2016.08.31,,A,1.01,0.17,100.0,1.76,0.61,,,A,322.3,19.6,A,425.6,16.1,450.4
86,SE7_00063,A,2016.06.03,2016.06.03,2016.08.31,,A,1.04,0.18,100.0,1.89,0.63,,,A,320.5,19.4,A,425.6,15.9,450.4
87,SE7_00064,A,2016.06.03,2016.06.03,2016.08.31,,A,1.14,0.19,100.0,1.78,0.71,,,A,320.5,19.4,A,425.6,16.0,450.4
88,SE7_00065,A,2016.06.03,2016.06.03,2016.08.09,,A,1.01,0.11,100.0,1.48,0.64,,,A,322.8,19.4,A,425.4,16.1,450.2
89,SE7_00066,A,2016.06.03,2016.06.03,2016.08.09,,A,0.98,0.11,100.0,1.57,0.64,,,A,322.8,19.5,A,425.4,16.2,450.2
90,SE7_00067,A,2016.06.03,2016.06.03,2016.08.09,,A,1.0,0.13,100.0,1.42,0.61,,,A,322.9,19.4,A,425.3,16.0,-1.0
91,SE7_00068,A,2016.06.03,2016.06.03,2016.08.09,,A,1.0,0.14,100.0,1.55,0.64,,,A,323.1,19.7,A,425.4,16.1,450.2
92,SE7_00069,A,2016.06.03,2016.06.03,2016.08.09,,A,1.01,0.13,100.0,1.46,0.64,,,A,322.3,19.4,A,425.4,15.9,450.2
93,SE7_00070,A,2016.06.03,2016.06.03,2016.08.09,,A,1.09,0.17,100.0,1.76,0.68,,,A,321.8,19.4,A,425.4,15.8,450.2
